   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:1(_Version)
        1    0.000    0.000    0.000    0.000 <string>:1(manifest_mod)
        2    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 AES.py:45(<module>)
        1    0.000    0.000    0.000    0.000 AES.py:52(AESCipher)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:55(_accept)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:112(Error)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:139(NoSectionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:147(DuplicateSectionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:155(NoOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:165(InterpolationError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:174(InterpolationMissingOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:188(InterpolationSyntaxError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:192(InterpolationDepthError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:204(ParsingError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:217(MissingSectionHeaderError)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:231(RawConfigParser)
        6    0.000    0.000    0.000    0.000 ConfigParser.py:232(__init__)
        6    0.000    0.000    0.000    0.000 ConfigParser.py:274(options)
        6    0.000    0.000    0.001    0.000 ConfigParser.py:285(read)
      256    0.000    0.000    0.000    0.000 ConfigParser.py:373(optionxform)
        6    0.001    0.000    0.001    0.000 ConfigParser.py:464(_read)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:558(_Chainmap)
      102    0.000    0.000    0.000    0.000 ConfigParser.py:567(__init__)
      154    0.000    0.000    0.000    0.000 ConfigParser.py:570(__getitem__)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:588(ConfigParser)
      102    0.000    0.000    0.001    0.000 ConfigParser.py:590(get)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:686(SafeConfigParser)
      102    0.000    0.000    0.001    0.000 ConfigParser.py:688(_interpolate)
  116/102    0.000    0.000    0.000    0.000 ConfigParser.py:696(_interpolate_some)
        1    0.000    0.000    0.001    0.001 ConfigParser.py:88(<module>)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:46(_accept)
        1    0.000    0.000    0.151    0.151 Image.py:1517(resize)
        1    0.000    0.000    1.038    1.038 Image.py:1611(save)
        1    0.001    0.001    0.151    0.151 Image.py:1755(thumbnail)
        1    0.000    0.000    0.000    0.000 Image.py:1931(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1967(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1972(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2199(_decompression_bomb_check)
        1    0.000    0.000    0.034    0.034 Image.py:2213(open)
        1    0.002    0.002    0.003    0.003 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:34(DecompressionBombWarning)
        2    0.000    0.000    0.000    0.000 Image.py:340(preinit)
        1    0.000    0.000    0.000    0.000 Image.py:38(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:403(_getdecoder)
        1    0.000    0.000    0.000    0.000 Image.py:420(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:444(_E)
        1    0.000    0.000    0.000    0.000 Image.py:479(Image)
        2    0.000    0.000    0.000    0.000 Image.py:493(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:505(_new)
        3    0.000    0.000    0.000    0.000 Image.py:601(__getattr__)
        4    0.000    0.000    0.000    0.000 Image.py:738(load)
        1    0.000    0.000    0.000    0.000 ImageFile.py:118(draft)
